#nch:  1000 id=     1      E in detector (MeV)                                             
#      x          content      error    
  0.113850E+01 0.120000E+02 0.346410E+01
  0.114750E+01 0.150000E+02 0.387298E+01
  0.115650E+01 0.170000E+02 0.412311E+01
  0.116550E+01 0.900000E+01 0.300000E+01
  0.117450E+01 0.366000E+03 0.191311E+02
  0.118350E+01 0.826000E+03 0.287402E+02
  0.119250E+01 0.170000E+02 0.412311E+01
  0.120150E+01 0.160000E+02 0.400000E+01
  0.121050E+01 0.396000E+03 0.198997E+02
  0.121950E+01 0.420000E+03 0.204939E+02
  0.122850E+01 0.240000E+02 0.489898E+01
  0.123750E+01 0.340000E+02 0.583095E+01
  0.124650E+01 0.280000E+03 0.167332E+02
  0.125550E+01 0.471000E+03 0.217025E+02
  0.126450E+01 0.250000E+02 0.500000E+01
  0.127350E+01 0.415000E+03 0.203715E+02
  0.128250E+01 0.239000E+03 0.154596E+02
  0.129150E+01 0.562000E+03 0.237065E+02
  0.130050E+01 0.150000E+02 0.387298E+01
  0.130950E+01 0.189000E+03 0.137477E+02
  0.131850E+01 0.173000E+03 0.131529E+02
  0.132750E+01 0.189000E+03 0.137477E+02
  0.133650E+01 0.194000E+03 0.139284E+02
  0.134550E+01 0.180000E+02 0.424264E+01
  0.135450E+01 0.207000E+03 0.143875E+02
  0.136350E+01 0.150000E+02 0.387298E+01
  0.137250E+01 0.120000E+02 0.346410E+01
  0.138150E+01 0.409000E+03 0.202237E+02
  0.139050E+01 0.348000E+03 0.186548E+02
  0.139950E+01 0.396000E+03 0.198997E+02
  0.140850E+01 0.228000E+03 0.150997E+02
  0.141750E+01 0.580000E+03 0.240832E+02
  0.142650E+01 0.150000E+02 0.387298E+01
  0.143550E+01 0.391000E+03 0.197737E+02
  0.144450E+01 0.214000E+03 0.146287E+02
  0.145350E+01 0.221000E+03 0.148661E+02
  0.146250E+01 0.566000E+03 0.237908E+02
  0.147150E+01 0.230000E+02 0.479583E+01
  0.148050E+01 0.206000E+03 0.143527E+02
  0.148950E+01 0.270000E+02 0.519615E+01
  0.149850E+01 0.189000E+03 0.137477E+02
  0.150750E+01 0.200000E+02 0.447214E+01
  0.151650E+01 0.310000E+02 0.556776E+01
  0.152550E+01 0.268000E+03 0.163707E+02
  0.153450E+01 0.200000E+03 0.141421E+02
  0.154350E+01 0.570000E+03 0.238747E+02
  0.155250E+01 0.203000E+03 0.142478E+02
  0.156150E+01 0.608000E+03 0.246577E+02
  0.157050E+01 0.387000E+03 0.196723E+02
  0.157950E+01 0.110300E+04 0.332114E+02
  0.158850E+01 0.931000E+03 0.305123E+02
  0.159750E+01 0.206000E+03 0.143527E+02
  0.160650E+01 0.130000E+02 0.360555E+01
  0.161550E+01 0.589000E+03 0.242693E+02
  0.162450E+01 0.217000E+03 0.147309E+02
  0.163350E+01 0.588000E+03 0.242487E+02
  0.164250E+01 0.216000E+03 0.146969E+02
  0.165150E+01 0.180000E+02 0.424264E+01
  0.166050E+01 0.140000E+02 0.374166E+01
  0.166950E+01 0.573000E+03 0.239374E+02
  0.167850E+01 0.492000E+03 0.221811E+02
  0.168750E+01 0.424000E+03 0.205913E+02
  0.169650E+01 0.204000E+03 0.142829E+02
  0.170550E+01 0.432000E+03 0.207846E+02
  0.171450E+01 0.130000E+02 0.360555E+01
  0.172350E+01 0.407000E+03 0.201742E+02
  0.173250E+01 0.120000E+02 0.346410E+01
  0.174150E+01 0.170000E+02 0.412311E+01
  0.175050E+01 0.308000E+03 0.175499E+02
  0.175950E+01 0.240000E+03 0.154919E+02
  0.176850E+01 0.300000E+03 0.173205E+02
  0.177750E+01 0.200000E+03 0.141421E+02
  0.178650E+01 0.187000E+03 0.136748E+02
  0.179550E+01 0.170000E+03 0.130384E+02
  0.180450E+01 0.415000E+03 0.203715E+02
  0.181350E+01 0.175000E+03 0.132288E+02
  0.182250E+01 0.179000E+03 0.133791E+02
  0.183150E+01 0.205000E+03 0.143178E+02
  0.184050E+01 0.220000E+03 0.148324E+02
  0.184950E+01 0.545000E+03 0.233452E+02
  0.185850E+01 0.395000E+03 0.198746E+02
  0.186750E+01 0.213000E+03 0.145945E+02
  0.187650E+01 0.189000E+03 0.137477E+02
  0.188550E+01 0.391000E+03 0.197737E+02
  0.189450E+01 0.397000E+03 0.199249E+02
  0.190350E+01 0.320000E+02 0.565685E+01
  0.191250E+01 0.737000E+03 0.271477E+02
  0.192150E+01 0.480000E+02 0.692820E+01
  0.193050E+01 0.198000E+03 0.140712E+02
  0.193950E+01 0.230000E+02 0.479583E+01
  0.194850E+01 0.364000E+03 0.190788E+02
  0.195750E+01 0.591000E+03 0.243105E+02
  0.196650E+01 0.578000E+03 0.240416E+02
  0.197550E+01 0.200000E+02 0.447214E+01
  0.198450E+01 0.746000E+03 0.273130E+02
  0.199350E+01 0.219000E+03 0.147986E+02
  0.200250E+01 0.392000E+03 0.197990E+02
  0.201150E+01 0.200000E+03 0.141421E+02
  0.202050E+01 0.385000E+03 0.196214E+02
  0.202950E+01 0.197000E+03 0.140357E+02
  0.203850E+01 0.150000E+02 0.387298E+01
  0.204750E+01 0.184000E+03 0.135647E+02
  0.205650E+01 0.179000E+03 0.133791E+02
  0.206550E+01 0.173000E+03 0.131529E+02
  0.207450E+01 0.386000E+03 0.196469E+02
  0.208350E+01 0.178000E+03 0.133417E+02
  0.209250E+01 0.140000E+02 0.374166E+01
  0.210150E+01 0.216000E+03 0.146969E+02
  0.211050E+01 0.184000E+03 0.135647E+02
  0.211950E+01 0.190000E+03 0.137840E+02
  0.212850E+01 0.188000E+03 0.137113E+02
  0.213750E+01 0.608000E+03 0.246577E+02
  0.214650E+01 0.747000E+03 0.273313E+02
  0.215550E+01 0.191000E+03 0.138203E+02
  0.216450E+01 0.784000E+03 0.280000E+02
  0.217350E+01 0.397000E+03 0.199249E+02
  0.218250E+01 0.406000E+03 0.201494E+02
  0.219150E+01 0.633000E+03 0.251595E+02
  0.220050E+01 0.467000E+03 0.216102E+02
  0.220950E+01 0.190000E+02 0.435890E+01
  0.221850E+01 0.680000E+02 0.824621E+01
  0.222750E+01 0.363000E+03 0.190526E+02
  0.223650E+01 0.570000E+02 0.754983E+01
  0.224550E+01 0.194000E+03 0.139284E+02
  0.225450E+01 0.162000E+03 0.127279E+02
