#nch:  1000 id=     1      E in detector (MeV)                                             
#      x          content      error    
  0.450000E-02 0.600000E+02 0.774597E+01
  0.135000E-01 0.600000E+02 0.774597E+01
  0.225000E-01 0.480000E+02 0.692820E+01
  0.315000E-01 0.730000E+02 0.854400E+01
  0.405000E-01 0.880000E+02 0.938083E+01
  0.495000E-01 0.960000E+02 0.979796E+01
  0.585000E-01 0.970000E+02 0.984886E+01
  0.675000E-01 0.940000E+02 0.969536E+01
  0.765000E-01 0.107000E+03 0.103441E+02
  0.855000E-01 0.124000E+03 0.111355E+02
  0.945000E-01 0.106000E+03 0.102956E+02
  0.103500E+00 0.109000E+03 0.104403E+02
  0.112500E+00 0.109000E+03 0.104403E+02
  0.121500E+00 0.970000E+02 0.984886E+01
  0.130500E+00 0.137000E+03 0.117047E+02
  0.139500E+00 0.156000E+03 0.124900E+02
  0.148500E+00 0.154000E+03 0.124097E+02
  0.157500E+00 0.182000E+03 0.134907E+02
  0.166500E+00 0.172000E+03 0.131149E+02
  0.175500E+00 0.167000E+03 0.129228E+02
  0.184500E+00 0.203000E+03 0.142478E+02
  0.193500E+00 0.237000E+03 0.153948E+02
  0.202500E+00 0.231000E+03 0.151987E+02
  0.211500E+00 0.280000E+03 0.167332E+02
  0.220500E+00 0.226000E+03 0.150333E+02
  0.229500E+00 0.199000E+03 0.141067E+02
  0.238500E+00 0.195000E+03 0.139642E+02
  0.247500E+00 0.156000E+03 0.124900E+02
  0.256500E+00 0.147000E+03 0.121244E+02
  0.265500E+00 0.142000E+03 0.119164E+02
  0.274500E+00 0.155000E+03 0.124499E+02
  0.283500E+00 0.129000E+03 0.113578E+02
  0.292500E+00 0.117000E+03 0.108167E+02
  0.301500E+00 0.720000E+02 0.848528E+01
  0.310500E+00 0.850000E+02 0.921954E+01
  0.319500E+00 0.570000E+02 0.754983E+01
  0.328500E+00 0.660000E+02 0.812404E+01
  0.337500E+00 0.760000E+02 0.871780E+01
  0.346500E+00 0.720000E+02 0.848528E+01
  0.355500E+00 0.111000E+03 0.105357E+02
  0.364500E+00 0.162000E+03 0.127279E+02
  0.373500E+00 0.207000E+03 0.143875E+02
  0.382500E+00 0.226000E+03 0.150333E+02
  0.391500E+00 0.218000E+03 0.147648E+02
  0.400500E+00 0.248000E+03 0.157480E+02
  0.409500E+00 0.210000E+03 0.144914E+02
  0.418500E+00 0.203000E+03 0.142478E+02
  0.427500E+00 0.201000E+03 0.141774E+02
  0.436500E+00 0.204000E+03 0.142829E+02
  0.445500E+00 0.223000E+03 0.149332E+02
  0.454500E+00 0.240000E+03 0.154919E+02
  0.463500E+00 0.278000E+03 0.166733E+02
  0.472500E+00 0.227000E+03 0.150665E+02
  0.481500E+00 0.213000E+03 0.145945E+02
  0.490500E+00 0.220000E+03 0.148324E+02
  0.499500E+00 0.178000E+03 0.133417E+02
  0.508500E+00 0.164000E+03 0.128062E+02
  0.517500E+00 0.126000E+03 0.112250E+02
  0.526500E+00 0.149000E+03 0.122066E+02
  0.535500E+00 0.116000E+03 0.107703E+02
  0.544500E+00 0.139000E+03 0.117898E+02
  0.553500E+00 0.143000E+03 0.119583E+02
  0.562500E+00 0.175000E+03 0.132288E+02
  0.571500E+00 0.209000E+03 0.144568E+02
  0.580500E+00 0.228000E+03 0.150997E+02
  0.589500E+00 0.261000E+03 0.161555E+02
  0.598500E+00 0.286000E+03 0.169115E+02
