#nch:  1000 id=     1      E in detector (MeV)                                             
#      x          content      error    
  0.450000E-02 0.509900E+04 0.714073E+02
  0.135000E-01 0.405400E+04 0.636710E+02
  0.225000E-01 0.377800E+04 0.614654E+02
  0.315000E-01 0.453400E+04 0.673350E+02
  0.405000E-01 0.525800E+04 0.725121E+02
  0.495000E-01 0.565400E+04 0.751931E+02
  0.585000E-01 0.543800E+04 0.737428E+02
  0.675000E-01 0.512200E+04 0.715681E+02
  0.765000E-01 0.485400E+04 0.696707E+02
  0.855000E-01 0.437700E+04 0.661589E+02
  0.945000E-01 0.388400E+04 0.623217E+02
  0.103500E+00 0.346000E+04 0.588218E+02
  0.112500E+00 0.323700E+04 0.568946E+02
  0.121500E+00 0.307500E+04 0.554527E+02
  0.130500E+00 0.263900E+04 0.513712E+02
  0.139500E+00 0.212800E+04 0.461303E+02
  0.148500E+00 0.163700E+04 0.404599E+02
  0.157500E+00 0.155300E+04 0.394081E+02
  0.166500E+00 0.133000E+04 0.364692E+02
  0.175500E+00 0.123900E+04 0.351994E+02
  0.184500E+00 0.953000E+03 0.308707E+02
  0.193500E+00 0.936000E+03 0.305941E+02
  0.202500E+00 0.873000E+03 0.295466E+02
  0.211500E+00 0.734000E+03 0.270924E+02
  0.220500E+00 0.410000E+03 0.202485E+02
  0.229500E+00 0.205000E+03 0.143178E+02
  0.238500E+00 0.138000E+03 0.117473E+02
  0.247500E+00 0.169000E+03 0.130000E+02
  0.256500E+00 0.182000E+03 0.134907E+02
  0.265500E+00 0.130000E+03 0.114018E+02
  0.274500E+00 0.860000E+02 0.927362E+01
  0.283500E+00 0.780000E+02 0.883176E+01
  0.292500E+00 0.149000E+03 0.122066E+02
  0.301500E+00 0.256000E+03 0.160000E+02
  0.310500E+00 0.324000E+03 0.180000E+02
  0.319500E+00 0.300000E+03 0.173205E+02
  0.328500E+00 0.305000E+03 0.174642E+02
  0.337500E+00 0.255000E+03 0.159687E+02
  0.346500E+00 0.166000E+03 0.128841E+02
  0.355500E+00 0.136000E+03 0.116619E+02
  0.364500E+00 0.126000E+03 0.112250E+02
