#nch:  1000 id=     1      E in detector (MeV)                                             
#      x          content      error    
  0.113850E+01 0.288000E+03 0.169706E+02
  0.114750E+01 0.204000E+03 0.142829E+02
  0.115650E+01 0.990000E+02 0.994987E+01
  0.116550E+01 0.118000E+03 0.108628E+02
  0.117450E+01 0.219000E+03 0.147986E+02
  0.118350E+01 0.293000E+03 0.171172E+02
  0.119250E+01 0.420000E+03 0.204939E+02
  0.120150E+01 0.406000E+03 0.201494E+02
  0.121050E+01 0.441000E+03 0.210000E+02
  0.121950E+01 0.399000E+03 0.199750E+02
  0.122850E+01 0.317000E+03 0.178045E+02
  0.123750E+01 0.263000E+03 0.162173E+02
  0.124650E+01 0.188000E+03 0.137113E+02
  0.125550E+01 0.143000E+03 0.119583E+02
  0.126450E+01 0.182000E+03 0.134907E+02
  0.127350E+01 0.241000E+03 0.155242E+02
  0.128250E+01 0.283000E+03 0.168226E+02
  0.129150E+01 0.271000E+03 0.164621E+02
  0.130050E+01 0.182000E+03 0.134907E+02
  0.130950E+01 0.202000E+03 0.142127E+02
  0.131850E+01 0.278000E+03 0.166733E+02
  0.132750E+01 0.402000E+03 0.200499E+02
  0.133650E+01 0.333000E+03 0.182483E+02
  0.134550E+01 0.256000E+03 0.160000E+02
  0.135450E+01 0.184000E+03 0.135647E+02
  0.136350E+01 0.276000E+03 0.166132E+02
  0.137250E+01 0.470000E+03 0.216795E+02
  0.138150E+01 0.565000E+03 0.237697E+02
  0.139050E+01 0.495000E+03 0.222486E+02
  0.139950E+01 0.323000E+03 0.179722E+02
  0.140850E+01 0.237000E+03 0.153948E+02
  0.141750E+01 0.223000E+03 0.149332E+02
  0.142650E+01 0.319000E+03 0.178606E+02
  0.143550E+01 0.413000E+03 0.203224E+02
  0.144450E+01 0.531000E+03 0.230434E+02
  0.145350E+01 0.513000E+03 0.226495E+02
  0.146250E+01 0.458000E+03 0.214009E+02
  0.147150E+01 0.345000E+03 0.185742E+02
  0.148050E+01 0.190000E+03 0.137840E+02
  0.148950E+01 0.131000E+03 0.114455E+02
  0.149850E+01 0.133000E+03 0.115326E+02
  0.150750E+01 0.161000E+03 0.126886E+02
  0.151650E+01 0.178000E+03 0.133417E+02
  0.152550E+01 0.136000E+03 0.116619E+02
  0.153450E+01 0.119000E+03 0.109087E+02
  0.154350E+01 0.150000E+03 0.122474E+02
  0.155250E+01 0.187000E+03 0.136748E+02
  0.156150E+01 0.207000E+03 0.143875E+02
  0.157050E+01 0.247000E+03 0.157162E+02
  0.157950E+01 0.320000E+03 0.178885E+02
  0.158850E+01 0.433000E+03 0.208087E+02
  0.159750E+01 0.386000E+03 0.196469E+02
  0.160650E+01 0.450000E+03 0.212132E+02
  0.161550E+01 0.518000E+03 0.227596E+02
  0.162450E+01 0.664000E+03 0.257682E+02
  0.163350E+01 0.714000E+03 0.267208E+02
  0.164250E+01 0.577000E+03 0.240208E+02
  0.165150E+01 0.402000E+03 0.200499E+02
  0.166050E+01 0.364000E+03 0.190788E+02
  0.166950E+01 0.274000E+03 0.165529E+02
  0.167850E+01 0.269000E+03 0.164012E+02
  0.168750E+01 0.321000E+03 0.179165E+02
  0.169650E+01 0.224000E+03 0.149666E+02
  0.170550E+01 0.155000E+03 0.124499E+02
  0.171450E+01 0.910000E+02 0.953939E+01
  0.172350E+01 0.500000E+02 0.707107E+01
  0.173250E+01 0.970000E+02 0.984886E+01
  0.174150E+01 0.146000E+03 0.120830E+02
  0.175050E+01 0.158000E+03 0.125698E+02
  0.175950E+01 0.136000E+03 0.116619E+02
  0.176850E+01 0.109000E+03 0.104403E+02
  0.177750E+01 0.930000E+02 0.964365E+01
  0.178650E+01 0.156000E+03 0.124900E+02
  0.179550E+01 0.210000E+03 0.144914E+02
  0.180450E+01 0.296000E+03 0.172047E+02
  0.181350E+01 0.331000E+03 0.181934E+02
  0.182250E+01 0.323000E+03 0.179722E+02
  0.183150E+01 0.276000E+03 0.166132E+02
  0.184050E+01 0.196000E+03 0.140000E+02
  0.184950E+01 0.112000E+03 0.105830E+02
  0.185850E+01 0.140000E+03 0.118322E+02
  0.186750E+01 0.259000E+03 0.160935E+02
  0.187650E+01 0.257000E+03 0.160312E+02
  0.188550E+01 0.269000E+03 0.164012E+02
  0.189450E+01 0.216000E+03 0.146969E+02
  0.190350E+01 0.244000E+03 0.156205E+02
  0.191250E+01 0.238000E+03 0.154272E+02
  0.192150E+01 0.225000E+03 0.150000E+02
  0.193050E+01 0.214000E+03 0.146287E+02
  0.193950E+01 0.228000E+03 0.150997E+02
  0.194850E+01 0.310000E+03 0.176068E+02
  0.195750E+01 0.326000E+03 0.180555E+02
  0.196650E+01 0.338000E+03 0.183848E+02
  0.197550E+01 0.378000E+03 0.194422E+02
  0.198450E+01 0.430000E+03 0.207364E+02
  0.199350E+01 0.436000E+03 0.208806E+02
  0.200250E+01 0.472000E+03 0.217256E+02
  0.201150E+01 0.504000E+03 0.224499E+02
  0.202050E+01 0.449000E+03 0.211896E+02
  0.202950E+01 0.325000E+03 0.180278E+02
  0.203850E+01 0.263000E+03 0.162173E+02
  0.204750E+01 0.249000E+03 0.157797E+02
  0.205650E+01 0.324000E+03 0.180000E+02
  0.206550E+01 0.499000E+03 0.223383E+02
  0.207450E+01 0.535000E+03 0.231301E+02
  0.208350E+01 0.576000E+03 0.240000E+02
  0.209250E+01 0.419000E+03 0.204695E+02
  0.210150E+01 0.292000E+03 0.170880E+02
  0.211050E+01 0.262000E+03 0.161864E+02
  0.211950E+01 0.244000E+03 0.156205E+02
  0.212850E+01 0.249000E+03 0.157797E+02
  0.213750E+01 0.234000E+03 0.152971E+02
  0.214650E+01 0.210000E+03 0.144914E+02
  0.215550E+01 0.212000E+03 0.145602E+02
  0.216450E+01 0.326000E+03 0.180555E+02
  0.217350E+01 0.438000E+03 0.209284E+02
  0.218250E+01 0.530000E+03 0.230217E+02
  0.219150E+01 0.543000E+03 0.233024E+02
  0.220050E+01 0.587000E+03 0.242281E+02
  0.220950E+01 0.555000E+03 0.235584E+02
  0.221850E+01 0.515000E+03 0.226936E+02
  0.222750E+01 0.373000E+03 0.193132E+02
  0.223650E+01 0.323000E+03 0.179722E+02
  0.224550E+01 0.374000E+03 0.193391E+02
  0.225450E+01 0.529000E+03 0.230000E+02
  0.226350E+01 0.541000E+03 0.232594E+02
  0.227250E+01 0.537000E+03 0.231733E+02
  0.228150E+01 0.420000E+03 0.204939E+02
  0.229050E+01 0.398000E+03 0.199499E+02
  0.229950E+01 0.417000E+03 0.204206E+02
  0.230850E+01 0.497000E+03 0.222935E+02
  0.231750E+01 0.360000E+03 0.189737E+02
  0.232650E+01 0.269000E+03 0.164012E+02
  0.233550E+01 0.256000E+03 0.160000E+02
  0.234450E+01 0.346000E+03 0.186011E+02
  0.235350E+01 0.437000E+03 0.209045E+02
  0.236250E+01 0.497000E+03 0.222935E+02
  0.237150E+01 0.409000E+03 0.202237E+02
  0.238050E+01 0.284000E+03 0.168523E+02
  0.238950E+01 0.232000E+03 0.152315E+02
  0.239850E+01 0.273000E+03 0.165227E+02
  0.240750E+01 0.405000E+03 0.201246E+02
  0.241650E+01 0.520000E+03 0.228035E+02
  0.242550E+01 0.554000E+03 0.235372E+02
  0.243450E+01 0.452000E+03 0.212603E+02
  0.244350E+01 0.345000E+03 0.185742E+02
  0.245250E+01 0.323000E+03 0.179722E+02
  0.246150E+01 0.406000E+03 0.201494E+02
  0.247050E+01 0.580000E+03 0.240832E+02
  0.247950E+01 0.670000E+03 0.258844E+02
  0.248850E+01 0.659000E+03 0.256710E+02
  0.249750E+01 0.586000E+03 0.242074E+02
  0.250650E+01 0.648000E+03 0.254558E+02
  0.251550E+01 0.629000E+03 0.250799E+02
  0.252450E+01 0.529000E+03 0.230000E+02
  0.253350E+01 0.482000E+03 0.219545E+02
  0.254250E+01 0.388000E+03 0.196977E+02
  0.255150E+01 0.338000E+03 0.183848E+02
  0.256050E+01 0.302000E+03 0.173781E+02
  0.256950E+01 0.342000E+03 0.184932E+02
  0.257850E+01 0.466000E+03 0.215870E+02
  0.258750E+01 0.511000E+03 0.226053E+02
  0.259650E+01 0.318000E+03 0.178326E+02
  0.260550E+01 0.215000E+03 0.146629E+02
  0.261450E+01 0.149000E+03 0.122066E+02
  0.262350E+01 0.240000E+03 0.154919E+02
  0.263250E+01 0.367000E+03 0.191572E+02
  0.264150E+01 0.313000E+03 0.176918E+02
  0.265050E+01 0.199000E+03 0.141067E+02
  0.265950E+01 0.125000E+03 0.111803E+02
  0.266850E+01 0.157000E+03 0.125300E+02
  0.267750E+01 0.215000E+03 0.146629E+02
