#nch:  1000 id=     1      E in detector (MeV)                                             
#      x          content      error    
  0.450000E-02 0.720000E+02 0.848528E+01
  0.135000E-01 0.520000E+02 0.721110E+01
  0.225000E-01 0.610000E+02 0.781025E+01
  0.315000E-01 0.700000E+02 0.836660E+01
  0.405000E-01 0.670000E+02 0.818535E+01
  0.495000E-01 0.900000E+02 0.948683E+01
  0.585000E-01 0.870000E+02 0.932738E+01
  0.675000E-01 0.126000E+03 0.112250E+02
  0.765000E-01 0.127000E+03 0.112694E+02
  0.855000E-01 0.123000E+03 0.110905E+02
  0.945000E-01 0.127000E+03 0.112694E+02
  0.103500E+00 0.145000E+03 0.120416E+02
  0.112500E+00 0.130000E+03 0.114018E+02
  0.121500E+00 0.131000E+03 0.114455E+02
  0.130500E+00 0.107000E+03 0.103441E+02
  0.139500E+00 0.920000E+02 0.959166E+01
  0.148500E+00 0.106000E+03 0.102956E+02
  0.157500E+00 0.108000E+03 0.103923E+02
  0.166500E+00 0.137000E+03 0.117047E+02
  0.175500E+00 0.143000E+03 0.119583E+02
  0.184500E+00 0.160000E+03 0.126491E+02
  0.193500E+00 0.181000E+03 0.134536E+02
  0.202500E+00 0.169000E+03 0.130000E+02
  0.211500E+00 0.180000E+03 0.134164E+02
  0.220500E+00 0.192000E+03 0.138564E+02
  0.229500E+00 0.231000E+03 0.151987E+02
  0.238500E+00 0.227000E+03 0.150665E+02
  0.247500E+00 0.265000E+03 0.162788E+02
  0.256500E+00 0.243000E+03 0.155885E+02
  0.265500E+00 0.204000E+03 0.142829E+02
  0.274500E+00 0.199000E+03 0.141067E+02
  0.283500E+00 0.190000E+03 0.137840E+02
  0.292500E+00 0.146000E+03 0.120830E+02
  0.301500E+00 0.154000E+03 0.124097E+02
  0.310500E+00 0.143000E+03 0.119583E+02
  0.319500E+00 0.141000E+03 0.118743E+02
  0.328500E+00 0.156000E+03 0.124900E+02
  0.337500E+00 0.119000E+03 0.109087E+02
  0.346500E+00 0.830000E+02 0.911043E+01
  0.355500E+00 0.740000E+02 0.860233E+01
  0.364500E+00 0.620000E+02 0.787401E+01
  0.373500E+00 0.550000E+02 0.741620E+01
  0.382500E+00 0.640000E+02 0.800000E+01
  0.391500E+00 0.820000E+02 0.905539E+01
  0.400500E+00 0.125000E+03 0.111803E+02
  0.409500E+00 0.215000E+03 0.146629E+02
  0.418500E+00 0.198000E+03 0.140712E+02
  0.427500E+00 0.233000E+03 0.152643E+02
  0.436500E+00 0.224000E+03 0.149666E+02
  0.445500E+00 0.196000E+03 0.140000E+02
  0.454500E+00 0.216000E+03 0.146969E+02
  0.463500E+00 0.189000E+03 0.137477E+02
  0.472500E+00 0.216000E+03 0.146969E+02
  0.481500E+00 0.222000E+03 0.148997E+02
  0.490500E+00 0.215000E+03 0.146629E+02
  0.499500E+00 0.219000E+03 0.147986E+02
  0.508500E+00 0.235000E+03 0.153297E+02
  0.517500E+00 0.243000E+03 0.155885E+02
  0.526500E+00 0.225000E+03 0.150000E+02
  0.535500E+00 0.227000E+03 0.150665E+02
  0.544500E+00 0.177000E+03 0.133041E+02
  0.553500E+00 0.134000E+03 0.115758E+02
  0.562500E+00 0.150000E+03 0.122474E+02
  0.571500E+00 0.136000E+03 0.116619E+02
  0.580500E+00 0.140000E+03 0.118322E+02
  0.589500E+00 0.124000E+03 0.111355E+02
  0.598500E+00 0.160000E+03 0.126491E+02
  0.607500E+00 0.176000E+03 0.132665E+02
  0.616500E+00 0.188000E+03 0.137113E+02
  0.625500E+00 0.229000E+03 0.151327E+02
  0.634500E+00 0.272000E+03 0.164924E+02
  0.643500E+00 0.284000E+03 0.168523E+02
  0.652500E+00 0.320000E+03 0.178885E+02
  0.661500E+00 0.327000E+03 0.180831E+02
  0.670500E+00 0.249000E+03 0.157797E+02
  0.679500E+00 0.220000E+03 0.148324E+02
  0.688500E+00 0.230000E+03 0.151658E+02
  0.697500E+00 0.211000E+03 0.145258E+02
  0.706500E+00 0.213000E+03 0.145945E+02
  0.715500E+00 0.201000E+03 0.141774E+02
  0.724500E+00 0.137000E+03 0.117047E+02
  0.733500E+00 0.135000E+03 0.116190E+02
  0.742500E+00 0.102000E+03 0.100995E+02
  0.751500E+00 0.120000E+03 0.109545E+02
  0.760500E+00 0.141000E+03 0.118743E+02
  0.769500E+00 0.198000E+03 0.140712E+02
  0.778500E+00 0.251000E+03 0.158430E+02
  0.787500E+00 0.296000E+03 0.172047E+02
  0.796500E+00 0.402000E+03 0.200499E+02
  0.805500E+00 0.434000E+03 0.208327E+02
  0.814500E+00 0.486000E+03 0.220454E+02
  0.823500E+00 0.471000E+03 0.217025E+02
  0.832500E+00 0.507000E+03 0.225167E+02
  0.841500E+00 0.448000E+03 0.211660E+02
  0.850500E+00 0.411000E+03 0.202731E+02
  0.859500E+00 0.361000E+03 0.190000E+02
  0.868500E+00 0.328000E+03 0.181108E+02
  0.877500E+00 0.266000E+03 0.163095E+02
  0.886500E+00 0.290000E+03 0.170294E+02
  0.895500E+00 0.239000E+03 0.154596E+02
  0.904500E+00 0.220000E+03 0.148324E+02
  0.913500E+00 0.244000E+03 0.156205E+02
  0.922500E+00 0.236000E+03 0.153623E+02
  0.931500E+00 0.300000E+03 0.173205E+02
  0.940500E+00 0.286000E+03 0.169115E+02
  0.949500E+00 0.284000E+03 0.168523E+02
  0.958500E+00 0.312000E+03 0.176635E+02
  0.967500E+00 0.258000E+03 0.160624E+02
  0.976500E+00 0.199000E+03 0.141067E+02
  0.985500E+00 0.161000E+03 0.126886E+02
  0.994500E+00 0.147000E+03 0.121244E+02
  0.100350E+01 0.140000E+03 0.118322E+02
  0.101250E+01 0.151000E+03 0.122882E+02
  0.102150E+01 0.166000E+03 0.128841E+02
  0.103050E+01 0.187000E+03 0.136748E+02
  0.103950E+01 0.182000E+03 0.134907E+02
  0.104850E+01 0.201000E+03 0.141774E+02
  0.105750E+01 0.192000E+03 0.138564E+02
  0.106650E+01 0.206000E+03 0.143527E+02
  0.107550E+01 0.207000E+03 0.143875E+02
  0.108450E+01 0.208000E+03 0.144222E+02
  0.109350E+01 0.224000E+03 0.149666E+02
  0.110250E+01 0.259000E+03 0.160935E+02
  0.111150E+01 0.229000E+03 0.151327E+02
  0.112050E+01 0.243000E+03 0.155885E+02
  0.112950E+01 0.269000E+03 0.164012E+02
  0.113850E+01 0.265000E+03 0.162788E+02
  0.114750E+01 0.289000E+03 0.170000E+02
  0.115650E+01 0.259000E+03 0.160935E+02
  0.116550E+01 0.259000E+03 0.160935E+02
  0.117450E+01 0.255000E+03 0.159687E+02
  0.118350E+01 0.268000E+03 0.163707E+02
  0.119250E+01 0.242000E+03 0.155563E+02
  0.120150E+01 0.218000E+03 0.147648E+02
  0.121050E+01 0.242000E+03 0.155563E+02
  0.121950E+01 0.239000E+03 0.154596E+02
  0.122850E+01 0.247000E+03 0.157162E+02
  0.123750E+01 0.295000E+03 0.171756E+02
  0.124650E+01 0.333000E+03 0.182483E+02
  0.125550E+01 0.334000E+03 0.182757E+02
  0.126450E+01 0.309000E+03 0.175784E+02
  0.127350E+01 0.312000E+03 0.176635E+02
  0.128250E+01 0.314000E+03 0.177200E+02
  0.129150E+01 0.244000E+03 0.156205E+02
  0.130050E+01 0.269000E+03 0.164012E+02
  0.130950E+01 0.218000E+03 0.147648E+02
  0.131850E+01 0.222000E+03 0.148997E+02
  0.132750E+01 0.198000E+03 0.140712E+02
  0.133650E+01 0.184000E+03 0.135647E+02
  0.134550E+01 0.176000E+03 0.132665E+02
  0.135450E+01 0.178000E+03 0.133417E+02
  0.136350E+01 0.177000E+03 0.133041E+02
  0.137250E+01 0.172000E+03 0.131149E+02
  0.138150E+01 0.173000E+03 0.131529E+02
  0.139050E+01 0.169000E+03 0.130000E+02
  0.139950E+01 0.177000E+03 0.133041E+02
  0.140850E+01 0.175000E+03 0.132288E+02
  0.141750E+01 0.199000E+03 0.141067E+02
  0.142650E+01 0.232000E+03 0.152315E+02
  0.143550E+01 0.294000E+03 0.171464E+02
  0.144450E+01 0.340000E+03 0.184391E+02
  0.145350E+01 0.382000E+03 0.195448E+02
  0.146250E+01 0.399000E+03 0.199750E+02
  0.147150E+01 0.432000E+03 0.207846E+02
  0.148050E+01 0.417000E+03 0.204206E+02
  0.148950E+01 0.421000E+03 0.205183E+02
  0.149850E+01 0.386000E+03 0.196469E+02
  0.150750E+01 0.347000E+03 0.186279E+02
  0.151650E+01 0.326000E+03 0.180555E+02
  0.152550E+01 0.283000E+03 0.168226E+02
  0.153450E+01 0.225000E+03 0.150000E+02
  0.154350E+01 0.177000E+03 0.133041E+02
  0.155250E+01 0.187000E+03 0.136748E+02
  0.156150E+01 0.182000E+03 0.134907E+02
  0.157050E+01 0.163000E+03 0.127671E+02
  0.157950E+01 0.193000E+03 0.138924E+02
  0.158850E+01 0.218000E+03 0.147648E+02
  0.159750E+01 0.243000E+03 0.155885E+02
  0.160650E+01 0.298000E+03 0.172627E+02
  0.161550E+01 0.285000E+03 0.168819E+02
  0.162450E+01 0.287000E+03 0.169411E+02
  0.163350E+01 0.259000E+03 0.160935E+02
  0.164250E+01 0.263000E+03 0.162173E+02
  0.165150E+01 0.219000E+03 0.147986E+02
  0.166050E+01 0.227000E+03 0.150665E+02
  0.166950E+01 0.182000E+03 0.134907E+02
  0.167850E+01 0.183000E+03 0.135277E+02
  0.168750E+01 0.212000E+03 0.145602E+02
  0.169650E+01 0.230000E+03 0.151658E+02
  0.170550E+01 0.271000E+03 0.164621E+02
  0.171450E+01 0.326000E+03 0.180555E+02
  0.172350E+01 0.352000E+03 0.187617E+02
  0.173250E+01 0.380000E+03 0.194936E+02
  0.174150E+01 0.371000E+03 0.192614E+02
  0.175050E+01 0.419000E+03 0.204695E+02
  0.175950E+01 0.425000E+03 0.206155E+02
  0.176850E+01 0.384000E+03 0.195959E+02
  0.177750E+01 0.334000E+03 0.182757E+02
  0.178650E+01 0.325000E+03 0.180278E+02
  0.179550E+01 0.237000E+03 0.153948E+02
  0.180450E+01 0.280000E+03 0.167332E+02
  0.181350E+01 0.261000E+03 0.161555E+02
  0.182250E+01 0.244000E+03 0.156205E+02
  0.183150E+01 0.254000E+03 0.159374E+02
  0.184050E+01 0.283000E+03 0.168226E+02
  0.184950E+01 0.266000E+03 0.163095E+02
  0.185850E+01 0.235000E+03 0.153297E+02
