#nch:  1000 id=     1      E in detector (MeV)                                             
#      x          content      error    
  0.113850E+01 0.120300E+04 0.346843E+02
  0.114750E+01 0.344000E+03 0.185472E+02
  0.115650E+01 0.240900E+04 0.490816E+02
  0.116550E+01 0.189400E+04 0.435201E+02
  0.117450E+01 0.758000E+03 0.275318E+02
  0.118350E+01 0.762000E+03 0.276043E+02
  0.119250E+01 0.147300E+04 0.383797E+02
  0.120150E+01 0.339000E+03 0.184120E+02
  0.121050E+01 0.725000E+03 0.269258E+02
  0.121950E+01 0.783000E+03 0.279821E+02
  0.122850E+01 0.205200E+04 0.452990E+02
  0.123750E+01 0.225000E+04 0.474342E+02
  0.124650E+01 0.997000E+03 0.315753E+02
  0.125550E+01 0.162000E+03 0.127279E+02
  0.126450E+01 0.737000E+03 0.271477E+02
  0.127350E+01 0.750000E+03 0.273861E+02
  0.128250E+01 0.217300E+04 0.466154E+02
  0.129150E+01 0.152400E+04 0.390384E+02
  0.130050E+01 0.510000E+02 0.714143E+01
  0.130950E+01 0.290600E+04 0.539073E+02
  0.131850E+01 0.880000E+02 0.938083E+01
  0.132750E+01 0.754000E+03 0.274591E+02
  0.133650E+01 0.450000E+02 0.670820E+01
  0.134550E+01 0.232900E+04 0.482597E+02
  0.135450E+01 0.764000E+03 0.276405E+02
  0.136350E+01 0.818000E+03 0.286007E+02
  0.137250E+01 0.796000E+03 0.282135E+02
  0.138150E+01 0.152000E+04 0.389872E+02
  0.139050E+01 0.157100E+04 0.396358E+02
  0.139950E+01 0.763000E+03 0.276225E+02
  0.140850E+01 0.145600E+04 0.381576E+02
  0.141750E+01 0.232500E+04 0.482183E+02
  0.142650E+01 0.833000E+03 0.288617E+02
  0.143550E+01 0.756000E+03 0.274955E+02
  0.144450E+01 0.793000E+03 0.281603E+02
  0.145350E+01 0.758000E+03 0.275318E+02
  0.146250E+01 0.140000E+02 0.374166E+01
  0.147150E+01 0.762000E+03 0.276043E+02
  0.148050E+01 0.150100E+04 0.387427E+02
  0.148950E+01 0.150500E+04 0.387943E+02
  0.149850E+01 0.830000E+03 0.288097E+02
  0.150750E+01 0.906000E+03 0.300998E+02
  0.151650E+01 0.157000E+04 0.396232E+02
  0.152550E+01 0.141600E+04 0.376298E+02
  0.153450E+01 0.860000E+03 0.293258E+02
  0.154350E+01 0.213500E+04 0.462061E+02
  0.155250E+01 0.783000E+03 0.279821E+02
  0.156150E+01 0.147100E+04 0.383536E+02
  0.157050E+01 0.813000E+03 0.285132E+02
  0.157950E+01 0.762000E+03 0.276043E+02
  0.158850E+01 0.149400E+04 0.386523E+02
  0.159750E+01 0.223700E+04 0.472969E+02
  0.160650E+01 0.233000E+04 0.482701E+02
  0.161550E+01 0.238000E+04 0.487852E+02
  0.162450E+01 0.227500E+04 0.476970E+02
  0.163350E+01 0.210900E+04 0.459239E+02
  0.164250E+01 0.851000E+03 0.291719E+02
  0.165150E+01 0.157300E+04 0.396611E+02
  0.166050E+01 0.157900E+04 0.397366E+02
  0.166950E+01 0.892000E+03 0.298664E+02
  0.167850E+01 0.280000E+04 0.529150E+02
  0.168750E+01 0.155300E+04 0.394081E+02
  0.169650E+01 0.160000E+02 0.400000E+01
  0.170550E+01 0.223500E+04 0.472758E+02
  0.171450E+01 0.900000E+01 0.300000E+01
  0.172350E+01 0.780000E+02 0.883176E+01
  0.173250E+01 0.697000E+03 0.264008E+02
  0.174150E+01 0.940000E+02 0.969536E+01
  0.175050E+01 0.668000E+03 0.258457E+02
  0.175950E+01 0.430000E+03 0.207364E+02
  0.176850E+01 0.249500E+04 0.499500E+02
  0.177750E+01 0.193400E+04 0.439773E+02
  0.178650E+01 0.359800E+04 0.599833E+02
  0.179550E+01 0.104500E+04 0.323265E+02
  0.180450E+01 0.217500E+04 0.466369E+02
  0.181350E+01 0.112500E+04 0.335410E+02
  0.182250E+01 0.119000E+04 0.344964E+02
  0.183150E+01 0.178100E+04 0.422019E+02
  0.184050E+01 0.152700E+04 0.390768E+02
  0.184950E+01 0.896000E+03 0.299333E+02
  0.185850E+01 0.139000E+04 0.372827E+02
  0.186750E+01 0.845000E+03 0.290689E+02
  0.187650E+01 0.305600E+04 0.552811E+02
  0.188550E+01 0.815000E+03 0.285482E+02
  0.189450E+01 0.160000E+02 0.400000E+01
  0.190350E+01 0.448000E+03 0.211660E+02
  0.191250E+01 0.334600E+04 0.578446E+02
  0.192150E+01 0.106000E+03 0.102956E+02
  0.193050E+01 0.153900E+04 0.392301E+02
  0.193950E+01 0.768000E+03 0.277128E+02
  0.194850E+01 0.138800E+04 0.372559E+02
  0.195750E+01 0.216200E+04 0.464973E+02
  0.196650E+01 0.971000E+03 0.311609E+02
  0.197550E+01 0.154100E+04 0.392556E+02
  0.198450E+01 0.378200E+04 0.614980E+02
  0.199350E+01 0.311800E+04 0.558391E+02
  0.200250E+01 0.330500E+04 0.574891E+02
  0.201150E+01 0.278900E+04 0.528110E+02
  0.202050E+01 0.133400E+04 0.365240E+02
  0.202950E+01 0.222000E+03 0.148997E+02
  0.203850E+01 0.357100E+04 0.597578E+02
  0.204750E+01 0.784000E+03 0.280000E+02
  0.205650E+01 0.752000E+03 0.274226E+02
  0.206550E+01 0.802000E+03 0.283196E+02
  0.207450E+01 0.153200E+04 0.391408E+02
  0.208350E+01 0.149000E+04 0.386005E+02
  0.209250E+01 0.200000E+02 0.447214E+01
  0.210150E+01 0.301100E+04 0.548726E+02
  0.211050E+01 0.230500E+04 0.480104E+02
  0.211950E+01 0.229400E+04 0.478957E+02
  0.212850E+01 0.300900E+04 0.548544E+02
  0.213750E+01 0.300100E+04 0.547814E+02
  0.214650E+01 0.765000E+03 0.276586E+02
  0.215550E+01 0.386400E+04 0.621611E+02
  0.216450E+01 0.535000E+04 0.731437E+02
  0.217350E+01 0.121800E+05 0.110363E+03
  0.218250E+01 0.233210E+05 0.152712E+03
  0.219150E+01 0.493690E+05 0.222191E+03
  0.220050E+01 0.393540E+05 0.198378E+03
  0.220950E+01 0.190530E+05 0.138033E+03
  0.221850E+01 0.603500E+04 0.776853E+02
  0.222750E+01 0.237100E+04 0.486929E+02
  0.223650E+01 0.308500E+04 0.555428E+02
  0.224550E+01 0.332900E+04 0.576975E+02
  0.225450E+01 0.503700E+04 0.709718E+02
  0.226350E+01 0.514100E+04 0.717008E+02
  0.227250E+01 0.377500E+04 0.614410E+02
  0.228150E+01 0.297300E+04 0.545252E+02
  0.229050E+01 0.276400E+04 0.525738E+02
  0.229950E+01 0.618100E+04 0.786193E+02
  0.230850E+01 0.585800E+04 0.765376E+02
  0.231750E+01 0.533800E+04 0.730616E+02
  0.232650E+01 0.817000E+04 0.903881E+02
  0.233550E+01 0.953500E+04 0.976473E+02
  0.234450E+01 0.270820E+05 0.164566E+03
  0.235350E+01 0.925000E+05 0.304138E+03
  0.236250E+01 0.256959E+06 0.506911E+03
  0.237150E+01 0.607069E+06 0.779146E+03
  0.238050E+01 0.625774E+06 0.791059E+03
  0.238950E+01 0.373000E+06 0.610737E+03
  0.239850E+01 0.109315E+06 0.330628E+03
  0.240750E+01 0.131230E+05 0.114556E+03
  0.241650E+01 0.632000E+03 0.251396E+02
  0.242550E+01 0.935000E+03 0.305778E+02
  0.243450E+01 0.324800E+04 0.569912E+02
  0.244350E+01 0.112200E+04 0.334963E+02
  0.245250E+01 0.702000E+03 0.264953E+02
  0.246150E+01 0.200000E+02 0.447214E+01
  0.247050E+01 0.954000E+03 0.308869E+02
  0.247950E+01 0.218900E+04 0.467868E+02
  0.248850E+01 0.109500E+04 0.330908E+02
  0.249750E+01 0.739000E+03 0.271846E+02
