#nch:  1000 id=     1      E in detector (MeV)                                             
#      x          content      error    
  0.450000E-02 0.725000E+03 0.269258E+02
  0.135000E-01 0.572000E+03 0.239165E+02
  0.225000E-01 0.540000E+03 0.232379E+02
  0.315000E-01 0.670000E+03 0.258844E+02
  0.405000E-01 0.780000E+03 0.279285E+02
  0.495000E-01 0.805000E+03 0.283725E+02
  0.585000E-01 0.678000E+03 0.260384E+02
  0.675000E-01 0.702000E+03 0.264953E+02
  0.765000E-01 0.658000E+03 0.256515E+02
  0.855000E-01 0.582000E+03 0.241247E+02
  0.945000E-01 0.559000E+03 0.236432E+02
  0.103500E+00 0.463000E+03 0.215174E+02
  0.112500E+00 0.282000E+03 0.167929E+02
  0.121500E+00 0.142000E+03 0.119164E+02
  0.130500E+00 0.127000E+03 0.112694E+02
  0.139500E+00 0.139000E+03 0.117898E+02
  0.148500E+00 0.126000E+03 0.112250E+02
  0.157500E+00 0.930000E+02 0.964365E+01
  0.166500E+00 0.128000E+03 0.113137E+02
  0.175500E+00 0.191000E+03 0.138203E+02
  0.184500E+00 0.251000E+03 0.158430E+02
  0.193500E+00 0.270000E+03 0.164317E+02
  0.202500E+00 0.239000E+03 0.154596E+02
  0.211500E+00 0.204000E+03 0.142829E+02
  0.220500E+00 0.177000E+03 0.133041E+02
  0.229500E+00 0.149000E+03 0.122066E+02
  0.238500E+00 0.141000E+03 0.118743E+02
  0.247500E+00 0.119000E+03 0.109087E+02
  0.256500E+00 0.175000E+03 0.132288E+02
  0.265500E+00 0.274000E+03 0.165529E+02
  0.274500E+00 0.355000E+03 0.188414E+02
  0.283500E+00 0.397000E+03 0.199249E+02
  0.292500E+00 0.418000E+03 0.204450E+02
  0.301500E+00 0.369000E+03 0.192094E+02
  0.310500E+00 0.234000E+03 0.152971E+02
  0.319500E+00 0.133000E+03 0.115326E+02
  0.328500E+00 0.740000E+02 0.860233E+01
  0.337500E+00 0.470000E+02 0.685565E+01
  0.346500E+00 0.570000E+02 0.754983E+01
  0.355500E+00 0.970000E+02 0.984886E+01
  0.364500E+00 0.104000E+03 0.101980E+02
  0.373500E+00 0.120000E+03 0.109545E+02
  0.382500E+00 0.127000E+03 0.112694E+02
  0.391500E+00 0.147000E+03 0.121244E+02
  0.400500E+00 0.169000E+03 0.130000E+02
  0.409500E+00 0.171000E+03 0.130767E+02
  0.418500E+00 0.122000E+03 0.110454E+02
  0.427500E+00 0.102000E+03 0.100995E+02
  0.436500E+00 0.910000E+02 0.953939E+01
  0.445500E+00 0.960000E+02 0.979796E+01
  0.454500E+00 0.121000E+03 0.110000E+02
  0.463500E+00 0.880000E+02 0.938083E+01
  0.472500E+00 0.890000E+02 0.943398E+01
  0.481500E+00 0.137000E+03 0.117047E+02
  0.490500E+00 0.178000E+03 0.133417E+02
  0.499500E+00 0.260000E+03 0.161245E+02
  0.508500E+00 0.290000E+03 0.170294E+02
  0.517500E+00 0.273000E+03 0.165227E+02
  0.526500E+00 0.201000E+03 0.141774E+02
  0.535500E+00 0.151000E+03 0.122882E+02
  0.544500E+00 0.890000E+02 0.943398E+01
